location_id,location_name,province,province_id,municipality,municipality_id,location_type,page,area
613791,Aalst - Molenbeek-Graadbeek (Prov. Oost-Vlaanderen),Oost-Vlaanderen,16.0,Aalst,24142.0,Gebied,1,"25,69 km2"
30397,Aalst - Osbroek,Oost-Vlaanderen,16.0,Aalst,24142.0,Gebied,1,"1,14 km2"
28702,Aalst - Sint-Apollonia,Oost-Vlaanderen,16.0,Aalst,24142.0,Gebied,1,"92,46 ha"
252047,Aalst - Zandbekerheide/Asserenbos,Oost-Vlaanderen,16.0,Aalst,24142.0,Gebied,1,"79,8 ha"
671454,Aalst - Zwembadpark,Oost-Vlaanderen,16.0,Aalst,24142.0,Gebied,1,"13,03 ha"
27451,Aalst (Aalst) (Dg),Oost-Vlaanderen,16.0,Aalst,24142.0,Deelgemeente,1,"19,25 km2"
27661,Aalst (Sint-Truiden) (Dg),Limburg,14.0,Sint-Truiden,23101.0,Deelgemeente,2,"4,21 km2"
24194,Aalter,Oost-Vlaanderen,16.0,—,,Gemeente,2,"82,41 km2"
30344,Aalter - Centrum (6350A),Oost-Vlaanderen,16.0,Aalter,24194.0,Gebied,2,"3,06 km2"
30336,Aalter - Noord - Houtem (6360C),Oost-Vlaanderen,16.0,Aalter,24194.0,Gebied,2,"1,65 km2"
30335,Aalter - Noord - Industriepark (6360D),Oost-Vlaanderen,16.0,Aalter,24194.0,Gebied,2,"1,69 km2"
28746,Aalter - Noord - Oostergem (6360B),Oost-Vlaanderen,16.0,Aalter,24194.0,Gebied,2,"1,59 km2"
30337,Aalter - Noord - Oostmolen-zuid (6360E),Oost-Vlaanderen,16.0,Aalter,24194.0,Gebied,2,"69,26 ha"
30338,Aalter - Noord - Switten (6360A),Oost-Vlaanderen,16.0,Aalter,24194.0,Gebied,2,"89,37 ha"
30334,Aalter - Noord (6360),Oost-Vlaanderen,16.0,Aalter,24194.0,Gebied,2,"6,52 km2"
30348,Aalter - Zuid - Kraenepoel (6340C),Oost-Vlaanderen,16.0,Aalter,24194.0,Gebied,2,"30,7 ha"
30346,Aalter - Zuid - Loveld (6340B),Oost-Vlaanderen,16.0,Aalter,24194.0,Gebied,2,"1,99 km2"
30347,Aalter - Zuid - Orgelveld (6340A),Oost-Vlaanderen,16.0,Aalter,24194.0,Gebied,2,"1,43 km2"
30345,Aalter - Zuid (6340),Oost-Vlaanderen,16.0,Aalter,24194.0,Gebied,2,"3,72 km2"
30331,Aalterbrug - Aalterbrug dorp (6240A),Oost-Vlaanderen,16.0,Aalter,24194.0,Gebied,2,"66,86 ha"
30333,Aalterbrug - Doorn (6240B),Oost-Vlaanderen,16.0,Aalter,24194.0,Gebied,2,"1,94 km2"
30329,Aalterbrug - Kanaal Gent-Brugge Aalter (6240F),Oost-Vlaanderen,16.0,Aalter,24194.0,Gebied,2,"29,14 ha"
28386,Aalterbrug - Kanaal Gent-Brugge Aalterbrug (6240E),Oost-Vlaanderen,16.0,Aalter,24194.0,Gebied,2,"24,17 ha"
30330,Aalterbrug - Oostmolen-noord (6240D),Oost-Vlaanderen,16.0,Aalter,24194.0,Gebied,2,"91,81 ha"
30332,Aalterbrug - Woestijne (6240C),Oost-Vlaanderen,16.0,Aalter,24194.0,Gebied,2,"1,32 km2"
28745,Aalterbrug (6240),Oost-Vlaanderen,16.0,Aalter,24194.0,Gebied,2,"5,36 km2"
23400,Aarschot,Vlaams-Brabant,20.0,—,,Gemeente,2,"63,04 km2"
600262,Aarschot - Begraafplaats Herseltsesteenweg,Vlaams-Brabant,20.0,Aarschot,23400.0,Gebied,2,"2,87 ha"
126455,Aarschot - Biezenhuiskes,Vlaams-Brabant,20.0,Aarschot,23400.0,Gebied,2,"5,03 km2"
126449,Aarschot - Meertsels,Vlaams-Brabant,20.0,Aarschot,23400.0,Gebied,2,"1,16 km2"
126448,Aarschot - Meetshoven,Vlaams-Brabant,20.0,Aarschot,23400.0,Gebied,2,"1,71 km2"
126248,Aarschot - Sleedoornpage - Biezenhuiskes - Houtkant 192,Vlaams-Brabant,20.0,Aarschot,23400.0,Gebied,3,463 m2
126250,Aarschot - Sleedoornpage - Biezenhuiskes - Houtkant 204,Vlaams-Brabant,20.0,Aarschot,23400.0,Gebied,3,1.724 m2
126249,Aarschot - Sleedoornpage - Biezenhuiskes - Houtkant 91,Vlaams-Brabant,20.0,Aarschot,23400.0,Gebied,3,1.065 m2
106159,Aarschot - Speelhoven,Vlaams-Brabant,20.0,Aarschot,23400.0,Gebied,3,"37,39 ha"
24333,Aarschot/Averbode - Demerbroeken,Vlaams-Brabant,20.0,Scherpenheuvel-Zichem,91757.0,Gebied,3,"6,85 km2"
28839,Aarschot/Testelt - Demervallei,Vlaams-Brabant,20.0,Aarschot,23400.0,Gebied,3,"11,49 km2"
31001,Aarschot/Testelt - Demervallei - Schoonhoven,Vlaams-Brabant,20.0,Aarschot,23400.0,Gebied,3,"16,5 ha"
252654,Aarsele - Bufferbekken Speibeek (Prov W-Vl),West-Vlaanderen,15.0,Tielt,24063.0,Gebied,3,"1,82 ha"
31417,Aarsele - Gavermeersen,Oost-Vlaanderen,16.0,Dentergem,24065.0,Gebied,3,"1,12 km2"
28882,Aarsele - Gavermeersen - Gaverbos,West-Vlaanderen,15.0,Tielt,24063.0,Gebied,3,"4,36 ha"
191798,Aarsele - Perron Aarsele en directe omgeving,West-Vlaanderen,15.0,Tielt,24063.0,Gebied,3,"1,33 ha"
191799,Aarsele - Spoorweg tssn overgang N459 en veldweg,West-Vlaanderen,15.0,Tielt,24063.0,Gebied,3,2.869 m2
191595,Aarsele - Spoorwegberm voorbij overgang tot paal 6,West-Vlaanderen,15.0,Tielt,24063.0,Gebied,3,8.480 m2
27298,Aarsele (Dg),West-Vlaanderen,15.0,Tielt,24063.0,Deelgemeente,3,"15,13 km2"
31653,Aarseleweiden (ASW),West-Vlaanderen,15.0,Zeebrugge,24016.0,Gebied,3,"1,0 km2"
29445,Aarstelaar Kasteel Kleidaal,Antwerpen,17.0,Aartselaar,23345.0,Gebied,3,"11,42 ha"
31410,Aartrijke - Berkenhaag (BHAR),West-Vlaanderen,15.0,Zedelgem,24008.0,Gebied,3,"1,55 km2"
28238,Aartrijke - Centrum (CAR),West-Vlaanderen,15.0,Aartrijke (Dg),24009.0,Gebied,3,"1,37 km2"
28881,Aartrijke - Heuvellandschap (HLAR),West-Vlaanderen,15.0,Aartrijke (Dg),24009.0,Gebied,3,"7,2 km2"
31409,Aartrijke - Kasteel van Calloen (KAVC),West-Vlaanderen,15.0,Zedelgem,24008.0,Gebied,3,"1,06 km2"
24009,Aartrijke (Dg),West-Vlaanderen,15.0,Zedelgem,24008.0,Deelgemeente,3,"21,11 km2"
31408,Aartrijke/Zedelgem - Noordhoek (NHAZ),West-Vlaanderen,15.0,Aartrijke (Dg),24009.0,Gebied,3,"7,08 km2"
23345,Aartselaar,Antwerpen,17.0,—,,Gemeente,3,"11,04 km2"
29446,Aartselaar - Antwerpse Golfschool,Antwerpen,17.0,Aartselaar,23345.0,Gebied,3,"10,08 ha"
29439,Aartselaar - Cleydaelhof,Antwerpen,17.0,Aartselaar,23345.0,Gebied,3,"32,72 ha"
29441,Aartselaar - De Reukens,Antwerpen,17.0,Aartselaar,23345.0,Gebied,4,"1,26 km2"
29447,Aartselaar - Golf Cleydael,Antwerpen,17.0,Aartselaar,23345.0,Gebied,4,"67,7 ha"
241793,Aartselaar - Herprofilering Pannebosbeek,Antwerpen,17.0,Aartselaar,23345.0,Gebied,4,3.071 m2
29440,Aartselaar - Kasteel Solhof,Antwerpen,17.0,Aartselaar,23345.0,Gebied,4,"16,59 ha"
722363,Aartselaar - Overstromingsgebied De Raafkens,Antwerpen,17.0,—,,Gebied,4,"3,69 ha"
241794,Aartselaar - Overstromingsgebied Halfstraat,Antwerpen,17.0,Aartselaar,23345.0,Gebied,4,"4,3 ha"
247118,Aartselaar - Zonnetij,Antwerpen,17.0,Aartselaar,23345.0,Gebied,4,2.526 m2
252371,Abattis (réserve naturelle),Luxembourg,26.0,Etalle (entité),43963.0,Gebied,4,"2,22 km2"
179104,Abbaye de Saint-Remy (Rochefort),Namur,24.0,Rochefort (entité),43923.0,Gebied,4,"59,14 ha"
241448,Abbaye de Soleilmont,Hainaut,23.0,Fleurus (entité),43836.0,Gebied,4,"1,17 km2"
128154,Abbaye de Valdieu - Aubel,Liège,22.0,Aubel (entité),43745.0,project-Gebied,4,"28,77 ha"
190451,Abdijenroute (Groene As provincie West–Vl.),West-Vlaanderen,15.0,Damme,24013.0,Gebied,4,"44,92 ha"
42146,Abée,Liège,22.0,Tinlot (entité),43855.0,Deelgemeente,4,"10,02 km2"
713689,Abeek met aangrenzende moerasgebieden - N2000,Limburg,14.0,Bocholt,23496.0,Gebied,4,"25,23 km2"
91063,Abeekvallei,Limburg,14.0,Meeuwen-Gruitrode,23097.0,Gebied,4,"15,47 km2"
91083,Abeekvallei -  Stikheide en Erpecommerheide,Limburg,14.0,Peer,23501.0,Gebied,4,"58,97 ha"
91081,Abeekvallei - Bergerheide & Goolderheide,Limburg,14.0,Bocholt,23496.0,Gebied,4,"31,34 ha"
91085,Abeekvallei - Erpercommerbeemden,Limburg,14.0,Peer,23501.0,Gebied,4,"44,13 ha"
91088,Abeekvallei - Maastrichterheide Peer,Limburg,14.0,Peer,23501.0,Gebied,4,"35,54 ha"
193362,Abeekvallei - Schouten Hofs Veld,Limburg,14.0,Meeuwen-Gruitrode,23097.0,Gebied,4,"3,0 ha"
84125,Abeekvallei Bree,Limburg,14.0,Bree,23497.0,Gebied,4,"79,53 ha"
91082,Abeekvallei Ellikom,Limburg,14.0,Meeuwen-Gruitrode,23097.0,Gebied,4,"1,1 km2"
91080,Abeekvallei Grote Brogel,Limburg,14.0,Peer,23501.0,Gebied,4,"2,81 km2"
91087,Abeekvallei Meeuwen,Limburg,14.0,Meeuwen-Gruitrode,23097.0,Gebied,4,"6,07 km2"
258115,Abeekvallei Meeuwen - Kolis – IndenDamp,Limburg,14.0,Meeuwen-Gruitrode,23097.0,Gebied,4,"26,02 ha"
91079,Abeekvallei Reppel,Limburg,14.0,Bocholt,23496.0,Gebied,5,"1,39 km2"
91089,Abeekvallei Wijshagen,Limburg,14.0,Meeuwen-Gruitrode,23097.0,Gebied,5,"1,13 km2"
42280,Abolens,Liège,22.0,Hannut (entité),43750.0,Deelgemeente,5,"2,99 km2"
241522,Abords de l'Eglise de Cerexhe-Heuseux,Liège,22.0,Soumagne (entité),43774.0,Gebied,5,"4,46 ha"
241519,Abords de l'Eglise de Saint-André,Liège,22.0,Dalhem (entité),43725.0,Gebied,5,9.811 m2
241356,Abords des Isnes,Namur,24.0,Gembloux (entité),43807.0,Gebied,5,"33,93 ha"
241387,Abords du camping de Waismes,Liège,22.0,Waimes (entité),43819.0,Gebied,5,"2,69 ha"
241465,Abreuvoir à Amonines,Luxembourg,26.0,Erezée (entité),43907.0,Gebied,5,"1,27 ha"
191731,Achel - Achelse Kluis NW,Limburg,14.0,Hamont-Achel,23492.0,Gebied,5,"21,72 ha"
191732,Achel - Achelse Kluis ZO,Limburg,14.0,Hamont-Achel,23492.0,Gebied,5,"14,48 ha"
189896,Achel - Warande,Limburg,14.0,Hamont-Achel,23492.0,Gebied,5,"1,06 km2"
27550,Achel (Dg),Limburg,14.0,Hamont-Achel,23492.0,Deelgemeente,5,"20,55 km2"
42471,Achêne,Namur,24.0,Ciney (entité),43908.0,Deelgemeente,5,"10,44 km2"
23680,Achet,Namur,24.0,Hamois (entité),43894.0,Deelgemeente,5,"8,29 km2"
615558,Achterbroek - Wolfsheuvel,Antwerpen,17.0,Wuustwezel,23372.0,Gebied,5,"68,09 ha"
31980,Achterhaven - Akker Pelikaan (APE),West-Vlaanderen,15.0,Zeebrugge,24016.0,Gebied,5,"17,69 ha"
31711,Achterhaven - Asterveld-noord (AVN),West-Vlaanderen,15.0,Zeebrugge,24016.0,Gebied,5,"47,37 ha"
31979,Achterhaven - Berm Pelikaan (BPE),West-Vlaanderen,15.0,Zeebrugge,24016.0,Gebied,5,"15,56 ha"
31710,Achterhaven - Cast (CAST),West-Vlaanderen,15.0,Zeebrugge,24016.0,Gebied,5,"79,57 ha"
31714,Achterhaven - CTO (CTO),West-Vlaanderen,15.0,Zeebrugge,24016.0,Gebied,5,"1,17 km2"
671899,Achterhaven – CTO (CTO) - Bosje Pittman Seafoods,West-Vlaanderen,15.0,Brugge,24005.0,Gebied,5,8.782 m2
28545,Achterhaven - Distrigaz (DI),West-Vlaanderen,15.0,Zeebrugge,24016.0,Gebied,5,"12,19 ha"
31724,Achterhaven - Haagje Heist (HAHE),West-Vlaanderen,15.0,Heist (Dg),24011.0,Gebied,5,"4,78 ha"
31701,Achterhaven - Hoge Noen (HN),West-Vlaanderen,15.0,Zeebrugge,24016.0,Gebied,5,"94,74 ha"
31713,Achterhaven - Insteekdok (ISD),West-Vlaanderen,15.0,Zeebrugge,24016.0,Gebied,5,"2,27 km2"
31983,Achterhaven - Insteekdok (ISD) - Insteekdok CTO (ISDC),West-Vlaanderen,15.0,Zeebrugge,24016.0,Gebied,6,"24,75 ha"
31984,Achterhaven - Insteekdok (ISD) - Insteekdok Midden (ISDm),West-Vlaanderen,15.0,Zeebrugge,24016.0,Gebied,6,"32,55 ha"
31985,Achterhaven - Insteekdok (ISD) - Insteekdok West (ISDW),West-Vlaanderen,15.0,Zeebrugge,24016.0,Gebied,6,"44,56 ha"
31712,Achterhaven - Insteekdok (ISD) - Insteekdok-noord (ISDN),West-Vlaanderen,15.0,Zeebrugge,24016.0,Gebied,6,"67,38 ha"
31703,Achterhaven - Insteekdok (ISD) - Insteekdok-zuid (ISDZ),West-Vlaanderen,15.0,Zeebrugge,24016.0,Gebied,6,"57,54 ha"
31715,Achterhaven - Kiwikaai (KIKA),West-Vlaanderen,15.0,Zeebrugge,24016.0,Gebied,6,"62,69 ha"
31702,Achterhaven - Luzerneveld (LV),West-Vlaanderen,15.0,Zeebrugge,24016.0,Gebied,6,"76,14 ha"
31708,Achterhaven - OT Distrigaz (OTDI),West-Vlaanderen,15.0,Brugge,24005.0,Gebied,6,"12,4 ha"
28544,Achterhaven - OT Herdersbrug (OTHB),West-Vlaanderen,15.0,Zeebrugge,24016.0,Gebied,6,"8,89 ha"
31981,Achterhaven - OT Kolenopslagplaats (OTKN),West-Vlaanderen,15.0,Zeebrugge,24016.0,Gebied,6,"79,29 ha"
31706,Achterhaven - OT Middenkanaal (OTMK),West-Vlaanderen,15.0,Zeebrugge,24016.0,Gebied,6,"3,17 ha"
31977,Achterhaven - OT Spoorweg Midden (OTSM),West-Vlaanderen,15.0,Zeebrugge,24016.0,Gebied,6,"16,92 ha"
31982,Achterhaven - OT Spoorweg-oost (OTSO),West-Vlaanderen,15.0,Brugge,24005.0,Gebied,6,"54,66 ha"
31695,Achterhaven - OT Spoorweg-west (OTSW),West-Vlaanderen,15.0,Zeebrugge,24016.0,Gebied,6,"25,81 ha"
31705,Achterhaven - Plasjes Pelikaan (PLPE),West-Vlaanderen,15.0,Brugge,24005.0,Gebied,6,"7,7 ha"
31704,Achterhaven - Rietveld Pelikaan (RVPE),West-Vlaanderen,15.0,Zeebrugge,24016.0,Gebied,6,"50,46 ha"
31987,Achterhaven - Rietveld Spoorweg Oost (RSO),West-Vlaanderen,15.0,Zeebrugge,24016.0,Gebied,6,"18,02 ha"
31978,Achterhaven - Rietveld Spoorweg West (RSW),West-Vlaanderen,15.0,Zeebrugge,24016.0,Gebied,6,"7,75 ha"
31723,Achterhaven - Stapelterrein Heist (STHE),West-Vlaanderen,15.0,Zeebrugge,24016.0,Gebied,6,"48,71 ha"
31707,Achterhaven - Statoil (STAT),West-Vlaanderen,15.0,Zeebrugge,24016.0,Gebied,6,"75,03 ha"
31699,Achterhaven - Weiden Achterkant Lissewege (WAL),West-Vlaanderen,15.0,Zeebrugge,24016.0,Gebied,6,"20,26 ha"
31709,Achterhaven - Weiden Distrigaz (WDI),West-Vlaanderen,15.0,Brugge,24005.0,Gebied,6,"21,41 ha"
31697,Achterhaven - Weiden Hoge Noen (WHN),West-Vlaanderen,15.0,Zeebrugge,24016.0,Gebied,6,"52,58 ha"
31696,Achterhaven - Weiden Spoorweg Oost (WSO),West-Vlaanderen,15.0,Brugge,24005.0,Gebied,6,"32,23 ha"
31698,Achterhaven - Weiden Spoorweg West (WSW),West-Vlaanderen,15.0,Zeebrugge,24016.0,Gebied,6,"1,29 km2"
28561,Achterhaven - Zeekanaalberm Noord (KBN),West-Vlaanderen,15.0,Zeebrugge,24016.0,Gebied,7,"8,4 ha"
31986,Achterhaven - Zeekanaalberm Zuid (KBZ),West-Vlaanderen,15.0,Zeebrugge,24016.0,Gebied,7,"10,09 ha"
31988,Achterhaven (AH),West-Vlaanderen,15.0,Zeebrugge,24016.0,Gebied,7,"15,43 km2"
42300,Acosse,Liège,22.0,Wasseiges (entité),43788.0,Deelgemeente,7,"2,53 km2"
41891,Acoz,Hainaut,23.0,Gerpinnes (entité),43896.0,Deelgemeente,7,"7,07 km2"
30196,Adegem - Adegem centrum (6160C),Oost-Vlaanderen,16.0,Adegem (Dg),24216.0,Gebied,7,"5,7 km2"
30198,Adegem - Murkel (6160A),Oost-Vlaanderen,16.0,Adegem (Dg),24216.0,Gebied,7,"7,18 km2"
30197,Adegem - Onderdijke (6160B),Oost-Vlaanderen,16.0,Adegem (Dg),24216.0,Gebied,7,"7,18 km2"
28367,Adegem - Schipdonkkanaal tssn Celie-Steentjes (6160D),Oost-Vlaanderen,16.0,Sint-Laureins,24211.0,Gebied,7,"8,22 ha"
30195,Adegem - Schipdonkkanaal tssn Steentjes-Raveschoot (6160E),Oost-Vlaanderen,16.0,Eeklo,24197.0,Gebied,7,"17,32 ha"
30194,Adegem - Schipdonkkanaal tssn Veldekes-Raveschoot (6160F),Oost-Vlaanderen,16.0,Adegem (Dg),24216.0,Gebied,7,"17,44 ha"
28726,Adegem (6160),Oost-Vlaanderen,16.0,Adegem (Dg),24216.0,Gebied,7,"22,07 km2"
24216,Adegem (Dg),Oost-Vlaanderen,16.0,Maldegem,24215.0,Deelgemeente,7,"26,25 km2"
191725,Adinkerke - Cabourg duinen Oost,West-Vlaanderen,15.0,De Panne,24058.0,Gebied,7,"9,32 ha"
252018,Adinkerke - Camping,West-Vlaanderen,15.0,De Panne,24058.0,Gebied,7,"7,44 ha"
31199,Adinkerke - Garzebekeveld,West-Vlaanderen,15.0,De Panne,24058.0,Gebied,7,"1,4 ha"
31200,Adinkerke - Markeyputten,West-Vlaanderen,15.0,De Panne,24058.0,Gebied,7,"8,49 ha"
31205,Adinkerke - TRP,West-Vlaanderen,15.0,De Panne,24058.0,Gebied,7,"17,32 ha"
191775,Adinkerke - TRP Centrum,West-Vlaanderen,15.0,De Panne,24058.0,Gebied,7,"1,15 ha"
109016,Adinkerke - Zandwinningsput,West-Vlaanderen,15.0,De Panne,24058.0,Gebied,7,"6,39 ha"
27270,Adinkerke (Dg),West-Vlaanderen,15.0,De Panne,24058.0,Deelgemeente,7,"14,71 km2"
609268,Adrets de Romont (réserve naturelle),Liège,22.0,Modave (entité),43843.0,Gebied,7,"14,47 ha"
179377,Aérodrome civil (Saint-Hubert),Luxembourg,26.0,Saint-Hubert (entité),43939.0,Gebied,7,"98,85 ha"
241585,Aérodrome de Cerfontaine,Namur,24.0,Cerfontaine (entité),43924.0,Gebied,7,"59,39 ha"
179384,Aérodrome militaire de Saint-Hubert et ses abords (Saint-Hubert),Luxembourg,26.0,Sainte-Ode (entité),43940.0,Gebied,7,"1,47 km2"
23256,Affligem,Vlaams-Brabant,20.0,Liedekerke,23253.0,Gemeente,8,"17,89 km2"
713759,Affluents brabançons de la Senne - N2000,Brabant Wallon,25.0,Beersel,23231.0,Gebied,8,"7,1 km2"
702078,Affluents de la Meuse entre Huy et Flémalle - N2000,Liège,22.0,Amay (entité),43815.0,Gebied,8,"5,32 km2"
704081,Affluents de l'Our entre Setz et Schoenberg - N2000,Liège,22.0,Amel / Amblève (entité),43886.0,Gebied,8,"2,45 km2"
704402,Affluents du lac d'Eupen - N2000,Liège,22.0,Eupen (entité),43769.0,Gebied,8,"5,08 km2"
73624,Afsnee - Assels - Muynckhammen,Oost-Vlaanderen,16.0,Drongen (Dg),24110.0,Gebied,8,"3,61 ha"
675636,Afsnee - Begraafplaats,Oost-Vlaanderen,16.0,Gent,24108.0,Gebied,8,2.807 m2
23701,Agimont,Namur,24.0,Hastière (entité),43920.0,Deelgemeente,8,"10,44 km2"
604722,AGRIBIO,Namur,24.0,Havelange (entité),43884.0,Gebied,8,"2,75 km2"
179372,AI Linguette (Saint-Hubert),Luxembourg,26.0,Saint-Hubert (entité),43939.0,Gebied,8,"23,89 ha"
179336,Aiguilles de Chaleux (Houyet),Namur,24.0,Houyet (entité),43919.0,Gebied,8,"11,62 ha"
42304,Aineffe,Liège,22.0,Faimes (entité),43770.0,Deelgemeente,8,"2,74 km2"
73120,Aisances de Verlaine - est,Luxembourg,26.0,Durbuy (entité),43877.0,Gebied,8,"9,83 ha"
73119,Aisances de Verlaine - ouest,Luxembourg,26.0,Durbuy (entité),43877.0,Gebied,8,"31,74 ha"
42560,Aische-en-Refail,Namur,24.0,Eghezée (entité),43787.0,Deelgemeente,8,"9,02 km2"
42928,Aische-En-Refail (Etangs),Namur,24.0,Eghezée (entité),43787.0,Gebied,8,"3,98 ha"
41906,Aiseau,Hainaut,23.0,Aiseau-Presles (entité),43875.0,Deelgemeente,8,"7,74 km2"
43875,Aiseau-Presles (entité),Hainaut,23.0,—,,Gemeente,8,"22,35 km2"
42567,Aisemont,Namur,24.0,Fosses-la-Ville (entité),43879.0,Deelgemeente,8,"5,52 km2"
42952,Aisemont (Carrières),Namur,24.0,Fosses-la-Ville (entité),43879.0,Gebied,8,"84,46 ha"
71860,Aix-Sur-Cloie (village),Luxembourg,26.0,Aubange (entité),43968.0,Gebied,8,"51,48 ha"
31514,Akkers Lindeveld (AKLV),West-Vlaanderen,15.0,Beernem,24066.0,Gebied,8,"1,71 km2"
31319,Akkers Pompje (APOB),West-Vlaanderen,15.0,Oudenburg,24026.0,Gebied,8,"2,49 km2"
31513,Akkers Sint-Pietersveld (AKSV),West-Vlaanderen,15.0,Ruiselede,24069.0,Gebied,8,"1,02 km2"
28880,Akkers ten (zuid)Westen van Wijnendale (AWWD),West-Vlaanderen,15.0,Ichtegem,24028.0,Gebied,8,"1,5 km2"
252436,Al Florée (réserve naturelle),Namur,24.0,Philippeville (entité),43926.0,Gebied,9,"96,42 ha"
180042,Al Fosse (Rochefort),Namur,24.0,Rochefort (entité),43923.0,Gebied,9,"16,74 ha"
179897,Al Justice (Rochefort),Namur,24.0,Rochefort (entité),43923.0,Gebied,9,"7,32 ha"
27139,Albertdok (Dg),Antwerpen,17.0,Antwerpen 3 (Dg),23278.0,Deelgemeente,9,"60,8 km2"
28686,Aldeneik - Uiterwaarden,Limburg,14.0,Maaseik,23098.0,Gebied,9,"3,06 km2"
29752,Aldeneik - Uiterwaarden - Grindgaten,Limburg,14.0,Maaseik,23098.0,Gebied,9,"1,53 km2"
29751,Aldeneik - Uiterwaarden - Klauwenhof Landbouwzone,Limburg,14.0,Maaseik,23098.0,Gebied,9,"57,8 ha"
23446,Alken,Limburg,14.0,Alken,23446.0,Gemeente,9,"28,24 km2"
29686,Alken - Groot-Peteren,Limburg,14.0,Alken,23446.0,Gebied,9,"2,46 km2"
29680,Alken - Lampse Beemden,Limburg,14.0,Alken,23446.0,Gebied,9,"90,01 ha"
29675,Alken - Nachtegaal,Limburg,14.0,Alken,23446.0,Gebied,9,"86,15 ha"
29681,Alken - Plein,Limburg,14.0,Alken,23446.0,Gebied,9,"55,34 ha"
24287,Alken/Hasselt - Mombeekvallei,Limburg,14.0,Alken,23446.0,Gebied,9,"2,21 km2"
29684,Alkerveld,Limburg,14.0,Wellen,23481.0,Gebied,9,"1,26 km2"
42795,Alle,Namur,24.0,Vresse-sur-Semois (entité),43951.0,Deelgemeente,9,"9,78 km2"
23558,Alleur,Liège,22.0,Ans (entité),43743.0,Deelgemeente,9,"8,57 km2"
73101,Alouette,Luxembourg,26.0,Hotton (entité),43910.0,Gebied,9,"25,49 ha"
604885,Alsemberg - Begraafplaats,Vlaams-Brabant,20.0,Beersel,23231.0,Gebied,9,8.873 m2
604884,Alsemberg - Begraafplaats Vorst,Vlaams-Brabant,20.0,Beersel,23231.0,Gebied,9,"13,68 ha"
24417,Alsemberg - Kesterbeekmoeras,Vlaams-Brabant,20.0,Beersel,23231.0,Gebied,9,"92,15 ha"
23233,Alsemberg (Dg),Vlaams-Brabant,20.0,Beersel,23231.0,Deelgemeente,9,"6,26 km2"
29743,Altembroek,Limburg,14.0,Voeren,23474.0,Gebied,9,"17,21 ha"
24298,Altenbroek,Limburg,14.0,Voeren,23474.0,Gebied,9,"3,35 km2"
241325,Al'Vau,Hainaut,23.0,Braine-le-Comte (entité),43775.0,Gebied,9,"1,13 ha"
24061,Alveringem,West-Vlaanderen,15.0,—,,Gemeente,9,"80,74 km2"
43508,Amay,Liège,22.0,Amay (entité),43815.0,Deelgemeente,10,"9,21 km2"
43815,Amay (entité),Liège,22.0,Amay (entité),43815.0,Gemeente,10,"27,67 km2"
42332,Amberloup,Luxembourg,26.0,Sainte-Ode (entité),43940.0,Deelgemeente,10,"20,81 km2"
