location_name,location_id,province,province_id,municipality,municipality_id,location_type,page,area
Aartselaar - De Reukens,29441,Antwerpen,17.0,Aartselaar,23345.0,Gebied,4,"1,26 km2"
Aartselaar - Golf Cleydael,29447,Antwerpen,17.0,Aartselaar,23345.0,Gebied,4,"67,7 ha"
Aartselaar - Herprofilering Pannebosbeek,241793,Antwerpen,17.0,Aartselaar,23345.0,Gebied,4,3.071 m2
Aartselaar - Kasteel Solhof,29440,Antwerpen,17.0,Aartselaar,23345.0,Gebied,4,"16,59 ha"
Aartselaar - Overstromingsgebied De Raafkens,722363,Antwerpen,17.0,—,,Gebied,4,"3,69 ha"
Aartselaar - Overstromingsgebied Halfstraat,241794,Antwerpen,17.0,Aartselaar,23345.0,Gebied,4,"4,3 ha"
Aartselaar - Zonnetij,247118,Antwerpen,17.0,Aartselaar,23345.0,Gebied,4,2.526 m2
Abattis (réserve naturelle),252371,Luxembourg,26.0,Etalle (entité),43963.0,Gebied,4,"2,22 km2"
Abbaye de Saint-Remy (Rochefort),179104,Namur,24.0,Rochefort (entité),43923.0,Gebied,4,"59,14 ha"
Abbaye de Soleilmont,241448,Hainaut,23.0,Fleurus (entité),43836.0,Gebied,4,"1,17 km2"
Abbaye de Valdieu - Aubel,128154,Liège,22.0,Aubel (entité),43745.0,project-Gebied,4,"28,77 ha"
Abdijenroute (Groene As provincie West–Vl.),190451,West-Vlaanderen,15.0,Damme,24013.0,Gebied,4,"44,92 ha"
Abée,42146,Liège,22.0,Tinlot (entité),43855.0,Deelgemeente,4,"10,02 km2"
Abeek met aangrenzende moerasgebieden - N2000,713689,Limburg,14.0,Bocholt,23496.0,Gebied,4,"25,23 km2"
Abeekvallei,91063,Limburg,14.0,Meeuwen-Gruitrode,23097.0,Gebied,4,"15,47 km2"
Abeekvallei -  Stikheide en Erpecommerheide,91083,Limburg,14.0,Peer,23501.0,Gebied,4,"58,97 ha"
Abeekvallei - Bergerheide & Goolderheide,91081,Limburg,14.0,Bocholt,23496.0,Gebied,4,"31,34 ha"
Abeekvallei - Erpercommerbeemden,91085,Limburg,14.0,Peer,23501.0,Gebied,4,"44,13 ha"
Abeekvallei - Maastrichterheide Peer,91088,Limburg,14.0,Peer,23501.0,Gebied,4,"35,54 ha"
Abeekvallei - Schouten Hofs Veld,193362,Limburg,14.0,Meeuwen-Gruitrode,23097.0,Gebied,4,"3,0 ha"
Abeekvallei Bree,84125,Limburg,14.0,Bree,23497.0,Gebied,4,"79,53 ha"
Abeekvallei Ellikom,91082,Limburg,14.0,Meeuwen-Gruitrode,23097.0,Gebied,4,"1,1 km2"
Abeekvallei Grote Brogel,91080,Limburg,14.0,Peer,23501.0,Gebied,4,"2,81 km2"
Abeekvallei Meeuwen,91087,Limburg,14.0,Meeuwen-Gruitrode,23097.0,Gebied,4,"6,07 km2"
Abeekvallei Meeuwen - Kolis – IndenDamp,258115,Limburg,14.0,Meeuwen-Gruitrode,23097.0,Gebied,4,"26,02 ha"
Abeekvallei Reppel,91079,Limburg,14.0,Bocholt,23496.0,Gebied,5,"1,39 km2"
Abeekvallei Wijshagen,91089,Limburg,14.0,Meeuwen-Gruitrode,23097.0,Gebied,5,"1,13 km2"
Abolens,42280,Liège,22.0,Hannut (entité),43750.0,Deelgemeente,5,"2,99 km2"
Abords de l'Eglise de Cerexhe-Heuseux,241522,Liège,22.0,Soumagne (entité),43774.0,Gebied,5,"4,46 ha"
Abords de l'Eglise de Saint-André,241519,Liège,22.0,Dalhem (entité),43725.0,Gebied,5,9.811 m2
Abords des Isnes,241356,Namur,24.0,Gembloux (entité),43807.0,Gebied,5,"33,93 ha"
Abords du camping de Waismes,241387,Liège,22.0,Waimes (entité),43819.0,Gebied,5,"2,69 ha"
Abreuvoir à Amonines,241465,Luxembourg,26.0,Erezée (entité),43907.0,Gebied,5,"1,27 ha"
Achel - Achelse Kluis NW,191731,Limburg,14.0,Hamont-Achel,23492.0,Gebied,5,"21,72 ha"
Achel - Achelse Kluis ZO,191732,Limburg,14.0,Hamont-Achel,23492.0,Gebied,5,"14,48 ha"
Achel - Warande,189896,Limburg,14.0,Hamont-Achel,23492.0,Gebied,5,"1,06 km2"
Achel (Dg),27550,Limburg,14.0,Hamont-Achel,23492.0,Deelgemeente,5,"20,55 km2"
Achêne,42471,Namur,24.0,Ciney (entité),43908.0,Deelgemeente,5,"10,44 km2"
Achet,23680,Namur,24.0,Hamois (entité),43894.0,Deelgemeente,5,"8,29 km2"
Achterbroek - Wolfsheuvel,615558,Antwerpen,17.0,Wuustwezel,23372.0,Gebied,5,"68,09 ha"
Achterhaven - Akker Pelikaan (APE),31980,West-Vlaanderen,15.0,Zeebrugge,24016.0,Gebied,5,"17,69 ha"
Achterhaven - Asterveld-noord (AVN),31711,West-Vlaanderen,15.0,Zeebrugge,24016.0,Gebied,5,"47,37 ha"
Achterhaven - Berm Pelikaan (BPE),31979,West-Vlaanderen,15.0,Zeebrugge,24016.0,Gebied,5,"15,56 ha"
Achterhaven - Cast (CAST),31710,West-Vlaanderen,15.0,Zeebrugge,24016.0,Gebied,5,"79,57 ha"
Achterhaven - CTO (CTO),31714,West-Vlaanderen,15.0,Zeebrugge,24016.0,Gebied,5,"1,17 km2"
Achterhaven – CTO (CTO) - Bosje Pittman Seafoods,671899,West-Vlaanderen,15.0,Brugge,24005.0,Gebied,5,8.782 m2
Achterhaven - Distrigaz (DI),28545,West-Vlaanderen,15.0,Zeebrugge,24016.0,Gebied,5,"12,19 ha"
Achterhaven - Haagje Heist (HAHE),31724,West-Vlaanderen,15.0,Heist (Dg),24011.0,Gebied,5,"4,78 ha"
Achterhaven - Hoge Noen (HN),31701,West-Vlaanderen,15.0,Zeebrugge,24016.0,Gebied,5,"94,74 ha"
Achterhaven - Insteekdok (ISD),31713,West-Vlaanderen,15.0,Zeebrugge,24016.0,Gebied,5,"2,27 km2"
Achterhaven - Insteekdok (ISD) - Insteekdok CTO (ISDC),31983,West-Vlaanderen,15.0,Zeebrugge,24016.0,Gebied,6,"24,75 ha"
Achterhaven - Insteekdok (ISD) - Insteekdok Midden (ISDm),31984,West-Vlaanderen,15.0,Zeebrugge,24016.0,Gebied,6,"32,55 ha"
Achterhaven - Insteekdok (ISD) - Insteekdok West (ISDW),31985,West-Vlaanderen,15.0,Zeebrugge,24016.0,Gebied,6,"44,56 ha"
Achterhaven - Insteekdok (ISD) - Insteekdok-noord (ISDN),31712,West-Vlaanderen,15.0,Zeebrugge,24016.0,Gebied,6,"67,38 ha"
Achterhaven - Insteekdok (ISD) - Insteekdok-zuid (ISDZ),31703,West-Vlaanderen,15.0,Zeebrugge,24016.0,Gebied,6,"57,54 ha"
Achterhaven - Kiwikaai (KIKA),31715,West-Vlaanderen,15.0,Zeebrugge,24016.0,Gebied,6,"62,69 ha"
Achterhaven - Luzerneveld (LV),31702,West-Vlaanderen,15.0,Zeebrugge,24016.0,Gebied,6,"76,14 ha"
Achterhaven - OT Distrigaz (OTDI),31708,West-Vlaanderen,15.0,Brugge,24005.0,Gebied,6,"12,4 ha"
Achterhaven - OT Herdersbrug (OTHB),28544,West-Vlaanderen,15.0,Zeebrugge,24016.0,Gebied,6,"8,89 ha"
Achterhaven - OT Kolenopslagplaats (OTKN),31981,West-Vlaanderen,15.0,Zeebrugge,24016.0,Gebied,6,"79,29 ha"
Achterhaven - OT Middenkanaal (OTMK),31706,West-Vlaanderen,15.0,Zeebrugge,24016.0,Gebied,6,"3,17 ha"
Achterhaven - OT Spoorweg Midden (OTSM),31977,West-Vlaanderen,15.0,Zeebrugge,24016.0,Gebied,6,"16,92 ha"
Achterhaven - OT Spoorweg-oost (OTSO),31982,West-Vlaanderen,15.0,Brugge,24005.0,Gebied,6,"54,66 ha"
Achterhaven - OT Spoorweg-west (OTSW),31695,West-Vlaanderen,15.0,Zeebrugge,24016.0,Gebied,6,"25,81 ha"
Achterhaven - Plasjes Pelikaan (PLPE),31705,West-Vlaanderen,15.0,Brugge,24005.0,Gebied,6,"7,7 ha"
Achterhaven - Rietveld Pelikaan (RVPE),31704,West-Vlaanderen,15.0,Zeebrugge,24016.0,Gebied,6,"50,46 ha"
Achterhaven - Rietveld Spoorweg Oost (RSO),31987,West-Vlaanderen,15.0,Zeebrugge,24016.0,Gebied,6,"18,02 ha"
Achterhaven - Rietveld Spoorweg West (RSW),31978,West-Vlaanderen,15.0,Zeebrugge,24016.0,Gebied,6,"7,75 ha"
Achterhaven - Stapelterrein Heist (STHE),31723,West-Vlaanderen,15.0,Zeebrugge,24016.0,Gebied,6,"48,71 ha"
Achterhaven - Statoil (STAT),31707,West-Vlaanderen,15.0,Zeebrugge,24016.0,Gebied,6,"75,03 ha"
Achterhaven - Weiden Achterkant Lissewege (WAL),31699,West-Vlaanderen,15.0,Zeebrugge,24016.0,Gebied,6,"20,26 ha"
Achterhaven - Weiden Distrigaz (WDI),31709,West-Vlaanderen,15.0,Brugge,24005.0,Gebied,6,"21,41 ha"
Achterhaven - Weiden Hoge Noen (WHN),31697,West-Vlaanderen,15.0,Zeebrugge,24016.0,Gebied,6,"52,58 ha"
Achterhaven - Weiden Spoorweg Oost (WSO),31696,West-Vlaanderen,15.0,Brugge,24005.0,Gebied,6,"32,23 ha"
Achterhaven - Weiden Spoorweg West (WSW),31698,West-Vlaanderen,15.0,Zeebrugge,24016.0,Gebied,6,"1,29 km2"
Achterhaven - Zeekanaalberm Noord (KBN),28561,West-Vlaanderen,15.0,Zeebrugge,24016.0,Gebied,7,"8,4 ha"
Achterhaven - Zeekanaalberm Zuid (KBZ),31986,West-Vlaanderen,15.0,Zeebrugge,24016.0,Gebied,7,"10,09 ha"
Achterhaven (AH),31988,West-Vlaanderen,15.0,Zeebrugge,24016.0,Gebied,7,"15,43 km2"
Acosse,42300,Liège,22.0,Wasseiges (entité),43788.0,Deelgemeente,7,"2,53 km2"
Acoz,41891,Hainaut,23.0,Gerpinnes (entité),43896.0,Deelgemeente,7,"7,07 km2"
Adegem - Adegem centrum (6160C),30196,Oost-Vlaanderen,16.0,Adegem (Dg),24216.0,Gebied,7,"5,7 km2"
Adegem - Murkel (6160A),30198,Oost-Vlaanderen,16.0,Adegem (Dg),24216.0,Gebied,7,"7,18 km2"
Adegem - Onderdijke (6160B),30197,Oost-Vlaanderen,16.0,Adegem (Dg),24216.0,Gebied,7,"7,18 km2"
Adegem - Schipdonkkanaal tssn Celie-Steentjes (6160D),28367,Oost-Vlaanderen,16.0,Sint-Laureins,24211.0,Gebied,7,"8,22 ha"
Adegem - Schipdonkkanaal tssn Steentjes-Raveschoot (6160E),30195,Oost-Vlaanderen,16.0,Eeklo,24197.0,Gebied,7,"17,32 ha"
Adegem - Schipdonkkanaal tssn Veldekes-Raveschoot (6160F),30194,Oost-Vlaanderen,16.0,Adegem (Dg),24216.0,Gebied,7,"17,44 ha"
Adegem (6160),28726,Oost-Vlaanderen,16.0,Adegem (Dg),24216.0,Gebied,7,"22,07 km2"
Adegem (Dg),24216,Oost-Vlaanderen,16.0,Maldegem,24215.0,Deelgemeente,7,"26,25 km2"
Adinkerke - Cabourg duinen Oost,191725,West-Vlaanderen,15.0,De Panne,24058.0,Gebied,7,"9,32 ha"
Adinkerke - Camping,252018,West-Vlaanderen,15.0,De Panne,24058.0,Gebied,7,"7,44 ha"
Adinkerke - Garzebekeveld,31199,West-Vlaanderen,15.0,De Panne,24058.0,Gebied,7,"1,4 ha"
Adinkerke - Markeyputten,31200,West-Vlaanderen,15.0,De Panne,24058.0,Gebied,7,"8,49 ha"
Adinkerke - TRP,31205,West-Vlaanderen,15.0,De Panne,24058.0,Gebied,7,"17,32 ha"
Adinkerke - TRP Centrum,191775,West-Vlaanderen,15.0,De Panne,24058.0,Gebied,7,"1,15 ha"
Adinkerke - Zandwinningsput,109016,West-Vlaanderen,15.0,De Panne,24058.0,Gebied,7,"6,39 ha"
Adinkerke (Dg),27270,West-Vlaanderen,15.0,De Panne,24058.0,Deelgemeente,7,"14,71 km2"
Adrets de Romont (réserve naturelle),609268,Liège,22.0,Modave (entité),43843.0,Gebied,7,"14,47 ha"
Aérodrome civil (Saint-Hubert),179377,Luxembourg,26.0,Saint-Hubert (entité),43939.0,Gebied,7,"98,85 ha"
Aérodrome de Cerfontaine,241585,Namur,24.0,Cerfontaine (entité),43924.0,Gebied,7,"59,39 ha"
Aérodrome militaire de Saint-Hubert et ses abords (Saint-Hubert),179384,Luxembourg,26.0,Sainte-Ode (entité),43940.0,Gebied,7,"1,47 km2"
Affligem,23256,Vlaams-Brabant,20.0,Liedekerke,23253.0,Gemeente,8,"17,89 km2"
Affluents brabançons de la Senne - N2000,713759,Brabant Wallon,25.0,Beersel,23231.0,Gebied,8,"7,1 km2"
Affluents de la Meuse entre Huy et Flémalle - N2000,702078,Liège,22.0,Amay (entité),43815.0,Gebied,8,"5,32 km2"
Affluents de l'Our entre Setz et Schoenberg - N2000,704081,Liège,22.0,Amel / Amblève (entité),43886.0,Gebied,8,"2,45 km2"
Affluents du lac d'Eupen - N2000,704402,Liège,22.0,Eupen (entité),43769.0,Gebied,8,"5,08 km2"
Afsnee - Assels - Muynckhammen,73624,Oost-Vlaanderen,16.0,Drongen (Dg),24110.0,Gebied,8,"3,61 ha"
Afsnee - Begraafplaats,675636,Oost-Vlaanderen,16.0,Gent,24108.0,Gebied,8,2.807 m2
Agimont,23701,Namur,24.0,Hastière (entité),43920.0,Deelgemeente,8,"10,44 km2"
AGRIBIO,604722,Namur,24.0,Havelange (entité),43884.0,Gebied,8,"2,75 km2"
AI Linguette (Saint-Hubert),179372,Luxembourg,26.0,Saint-Hubert (entité),43939.0,Gebied,8,"23,89 ha"
Aiguilles de Chaleux (Houyet),179336,Namur,24.0,Houyet (entité),43919.0,Gebied,8,"11,62 ha"
Aineffe,42304,Liège,22.0,Faimes (entité),43770.0,Deelgemeente,8,"2,74 km2"
Aisances de Verlaine - est,73120,Luxembourg,26.0,Durbuy (entité),43877.0,Gebied,8,"9,83 ha"
Aisances de Verlaine - ouest,73119,Luxembourg,26.0,Durbuy (entité),43877.0,Gebied,8,"31,74 ha"
Aische-en-Refail,42560,Namur,24.0,Eghezée (entité),43787.0,Deelgemeente,8,"9,02 km2"
Aische-En-Refail (Etangs),42928,Namur,24.0,Eghezée (entité),43787.0,Gebied,8,"3,98 ha"
Aiseau,41906,Hainaut,23.0,Aiseau-Presles (entité),43875.0,Deelgemeente,8,"7,74 km2"
Aiseau-Presles (entité),43875,Hainaut,23.0,—,,Gemeente,8,"22,35 km2"
Aisemont,42567,Namur,24.0,Fosses-la-Ville (entité),43879.0,Deelgemeente,8,"5,52 km2"
Aisemont (Carrières),42952,Namur,24.0,Fosses-la-Ville (entité),43879.0,Gebied,8,"84,46 ha"
Aix-Sur-Cloie (village),71860,Luxembourg,26.0,Aubange (entité),43968.0,Gebied,8,"51,48 ha"
Akkers Lindeveld (AKLV),31514,West-Vlaanderen,15.0,Beernem,24066.0,Gebied,8,"1,71 km2"
Akkers Pompje (APOB),31319,West-Vlaanderen,15.0,Oudenburg,24026.0,Gebied,8,"2,49 km2"
Akkers Sint-Pietersveld (AKSV),31513,West-Vlaanderen,15.0,Ruiselede,24069.0,Gebied,8,"1,02 km2"
Akkers ten (zuid)Westen van Wijnendale (AWWD),28880,West-Vlaanderen,15.0,Ichtegem,24028.0,Gebied,8,"1,5 km2"
Al Florée (réserve naturelle),252436,Namur,24.0,Philippeville (entité),43926.0,Gebied,9,"96,42 ha"
Al Fosse (Rochefort),180042,Namur,24.0,Rochefort (entité),43923.0,Gebied,9,"16,74 ha"
Al Justice (Rochefort),179897,Namur,24.0,Rochefort (entité),43923.0,Gebied,9,"7,32 ha"
Albertdok (Dg),27139,Antwerpen,17.0,Antwerpen 3 (Dg),23278.0,Deelgemeente,9,"60,8 km2"
Aldeneik - Uiterwaarden,28686,Limburg,14.0,Maaseik,23098.0,Gebied,9,"3,06 km2"
Aldeneik - Uiterwaarden - Grindgaten,29752,Limburg,14.0,Maaseik,23098.0,Gebied,9,"1,53 km2"
Aldeneik - Uiterwaarden - Klauwenhof Landbouwzone,29751,Limburg,14.0,Maaseik,23098.0,Gebied,9,"57,8 ha"
Alken,23446,Limburg,14.0,Alken,23446.0,Gemeente,9,"28,24 km2"
Alken - Groot-Peteren,29686,Limburg,14.0,Alken,23446.0,Gebied,9,"2,46 km2"
Alken - Lampse Beemden,29680,Limburg,14.0,Alken,23446.0,Gebied,9,"90,01 ha"
Alken - Nachtegaal,29675,Limburg,14.0,Alken,23446.0,Gebied,9,"86,15 ha"
Alken - Plein,29681,Limburg,14.0,Alken,23446.0,Gebied,9,"55,34 ha"
Alken/Hasselt - Mombeekvallei,24287,Limburg,14.0,Alken,23446.0,Gebied,9,"2,21 km2"
Alkerveld,29684,Limburg,14.0,Wellen,23481.0,Gebied,9,"1,26 km2"
Alle,42795,Namur,24.0,Vresse-sur-Semois (entité),43951.0,Deelgemeente,9,"9,78 km2"
Alleur,23558,Liège,22.0,Ans (entité),43743.0,Deelgemeente,9,"8,57 km2"
Alouette,73101,Luxembourg,26.0,Hotton (entité),43910.0,Gebied,9,"25,49 ha"
Alsemberg - Begraafplaats,604885,Vlaams-Brabant,20.0,Beersel,23231.0,Gebied,9,8.873 m2
Alsemberg - Begraafplaats Vorst,604884,Vlaams-Brabant,20.0,Beersel,23231.0,Gebied,9,"13,68 ha"
Alsemberg - Kesterbeekmoeras,24417,Vlaams-Brabant,20.0,Beersel,23231.0,Gebied,9,"92,15 ha"
Alsemberg (Dg),23233,Vlaams-Brabant,20.0,Beersel,23231.0,Deelgemeente,9,"6,26 km2"
Altembroek,29743,Limburg,14.0,Voeren,23474.0,Gebied,9,"17,21 ha"
Altenbroek,24298,Limburg,14.0,Voeren,23474.0,Gebied,9,"3,35 km2"
Al'Vau,241325,Hainaut,23.0,Braine-le-Comte (entité),43775.0,Gebied,9,"1,13 ha"
Alveringem,24061,West-Vlaanderen,15.0,—,,Gemeente,9,"80,74 km2"
Amay,43508,Liège,22.0,Amay (entité),43815.0,Deelgemeente,10,"9,21 km2"
Amay (entité),43815,Liège,22.0,Amay (entité),43815.0,Gemeente,10,"27,67 km2"
Amberloup,42332,Luxembourg,26.0,Sainte-Ode (entité),43940.0,Deelgemeente,10,"20,81 km2"
